CaseAcc,Animal,DateCollected,Age,Sex,waypoint,Measurement,MeasureValue,MeasurementUnit
21711-30,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Total length,25.8,cm
21711-30,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Weight carcass,252.9,g
21711-30,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Weight liver,3.344,g
21711-29,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Fork length,24.6,cm
21711-29,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Total length,26.4,cm
21711-29,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Weight carcass,253.6,g
21711-29,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Weight liver,2.8,g
21711-28,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Fork length,25.2,cm
21711-28,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Total length,26.9,cm
21711-28,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Weight carcass,274.7,g
21711-28,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Weight liver,2.125,g
21711-27,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Fork length,24.4,cm
21711-27,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Total length,26.3,cm
21711-27,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Weight carcass,249.7,g
21711-27,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Weight liver,1.35,g
21711-24,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Fork length,23.4,cm
21711-24,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Total length,25.2,cm
21711-24,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Weight carcass,224.7,g
21711-24,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Weight liver,2.13,g
21711-23,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Fork length,25.6,cm
21711-23,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Total length,27.6,cm
21711-23,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Weight carcass,311.3,g
21711-23,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Weight liver,1.87,g
21711-21,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Fork length,25.7,cm
21711-21,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Total length,27.1,cm
21711-21,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Weight carcass,302.9,g
21711-21,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Weight liver,2.568,g
21711-25,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Fork length,25.1,cm
21711-25,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Total length,26.9,cm
21711-25,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Weight carcass,291.3,g
21711-25,Snapper: Bluestriped,1/20/12,Adult,Female,Barbers Point Outfall,Weight liver,2.455,g
21711-22,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Fork length,23.8,cm
21711-22,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Total length,25.2,cm
21711-22,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Weight carcass,232.6,g
21711-22,Snapper: Bluestriped,1/20/12,Adult,Male,Barbers Point Outfall,Weight liver,2.619,g
21870-20,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Fork length,21.4,cm
21870-20,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Total length,22.7,cm
21870-20,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight carcass,171.6,g
21870-20,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight liver,1.46,g
21870-19,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Fork length,26.8,cm
21870-19,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Total length,27.8,cm
21870-19,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight carcass,353.6,g
21870-19,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight liver,2.3,g
21870-16,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Fork length,22.6,cm
21870-16,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Total length,23.7,cm
21870-16,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight carcass,209.5,g
21870-16,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight liver,1.72,g
21870-18,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Fork length,24.4,cm
21870-18,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Total length,25.6,cm
21870-18,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight carcass,266.3,g
21870-18,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight liver,1.97,g
21870-17,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Fork length,23.3,cm
21870-17,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Total length,24.2,cm
21870-17,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight carcass,213.6,g
21870-17,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight liver,1.6,g
21870-12,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Fork length,26,cm
21870-12,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Total length,28.4,cm
21870-12,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight carcass,306.1,g
21870-12,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight liver,1.9,g
21870-14,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Fork length,24,cm
21870-14,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Total length,25.4,cm
21870-14,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight carcass,266.3,g
21870-14,Snapper: Bluestriped,1/14/13,Adult,Male,Barbers Point Outfall,Weight liver,2.22,g
21870-13,Snapper: Bluestriped,1/14/13,Adult,Female,Barbers Point Outfall,Fork length,24.6,cm
21870-13,Snapper: Bluestriped,1/14/13,Adult,Female,Barbers Point Outfall,Total length,25.5,cm
21870-13,Snapper: Bluestriped,1/14/13,Adult,Female,Barbers Point Outfall,Weight carcass,251.6,g
21870-13,Snapper: Bluestriped,1/14/13,Adult,Female,Barbers Point Outfall,Weight liver,1.51,g
21870-11,Snapper: Bluestriped,1/14/13,Adult,Female,Barbers Point Outfall,Fork length,22.3,cm
21870-11,Snapper: Bluestriped,1/14/13,Adult,Female,Barbers Point Outfall,Total length,23.5,cm
21870-11,Snapper: Bluestriped,1/14/13,Adult,Female,Barbers Point Outfall,Weight carcass,189.6,g
21870-11,Snapper: Bluestriped,1/14/13,Adult,Female,Barbers Point Outfall,Weight liver,2.33,g
21870-15,Snapper: Bluestriped,1/14/13,Adult,Female,Barbers Point Outfall,Fork length,26.3,cm
21870-15,Snapper: Bluestriped,1/14/13,Adult,Female,Barbers Point Outfall,Total length,27.9,cm
21870-15,Snapper: Bluestriped,1/14/13,Adult,Female,Barbers Point Outfall,Weight carcass,320.7,g
21870-15,Snapper: Bluestriped,1/14/13,Adult,Female,Barbers Point Outfall,Weight liver,2.68,g
25026-9,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Fork length,21.9,cm
25026-9,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Total length,23,cm
25026-9,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Weight carcass,182.4,g
25026-9,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Weight liver,1.224,g
25026-6,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Fork length,22.7,cm
25026-6,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Total length,23.7,cm
25026-6,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Weight carcass,196.6,g
25026-6,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Weight liver,0.995,g
25026-10,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Fork length,20.9,cm
25026-10,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Total length,21.8,cm
25026-10,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Weight carcass,148.1,g
25026-10,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Weight liver,0.865,g
25026-8,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Fork length,23.7,cm
25026-8,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Total length,24.7,cm
25026-8,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Weight carcass,227.1,g
25026-8,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Weight liver,1.177,g
25026-7,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Fork length,20.1,cm
25026-7,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Total length,20.9,cm
25026-7,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Weight carcass,146.1,g
25026-7,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Weight liver,1.052,g
25026-4,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Fork length,25.7,cm
25026-4,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Total length,26.4,cm
25026-4,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Weight carcass,270.6,g
25026-4,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Weight liver,2.018,g
25026-3,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Fork length,22.4,cm
25026-3,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Total length,23.4,cm
25026-3,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Weight carcass,191,g
25026-3,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Weight liver,1.444,g
25026-2,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Fork length,21.9,cm
25026-2,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Total length,22.7,cm
25026-2,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Weight carcass,169.5,g
25026-2,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Weight liver,1.028,g
25026-1,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Fork length,24.2,cm
25026-1,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Total length,25.4,cm
25026-1,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Weight carcass,240.2,g
25026-1,Snapper: Bluestriped,1/27/14,Adult,Female,Barbers Point Outfall,Weight liver,1.763,g
25026-5,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Fork length,20.2,cm
25026-5,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Total length,21.3,cm
25026-5,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Weight carcass,136.1,g
25026-5,Snapper: Bluestriped,1/27/14,Adult,Male,Barbers Point Outfall,Weight liver,0.755,g
25174-13,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Fork length,26.3,cm
25174-13,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Total length,28,cm
25174-13,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight carcass,317.2,g
25174-13,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight liver,2.222,g
25174-20,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Fork length,23,cm
25174-20,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Total length,24.5,cm
25174-20,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight carcass,213.4,g
25174-20,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight liver,1.219,g
25174-12,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point Outfall,Fork length,19.1,cm
25174-12,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point Outfall,Total length,20.3,cm
25174-12,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point Outfall,Weight carcass,117.8,g
25174-12,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point Outfall,Weight liver,0.726,g
25174-14,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Fork length,20.5,cm
25174-14,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Total length,21.6,cm
25174-14,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight carcass,141.7,g
25174-14,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight liver,0.903,g
25174-15,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Fork length,22,cm
25174-15,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Total length,23.2,cm
25174-15,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight carcass,156.6,g
25174-15,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight liver,0.809,g
25174-16,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point Outfall,Fork length,19.4,cm
25174-16,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point Outfall,Total length,20.8,cm
25174-16,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point Outfall,Weight carcass,114,g
25174-16,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point Outfall,Weight liver,0.72,g
25174-17,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Fork length,27.1,cm
25174-17,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Total length,28.7,cm
25174-17,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight carcass,344.9,g
25174-17,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight liver,1.909,g
25174-18,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point Outfall,Fork length,17.3,cm
25174-18,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point Outfall,Total length,18.4,cm
25174-18,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point Outfall,Weight carcass,87.2,g
25174-18,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point Outfall,Weight liver,0.454,g
25174-19,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Fork length,19.3,cm
25174-19,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Total length,20.6,cm
25174-19,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight carcass,121.6,g
25174-19,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight liver,0.751,g
25174-11,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Fork length,22.6,cm
25174-11,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Total length,24,cm
25174-11,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight carcass,200,g
25174-11,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point Outfall,Weight liver,1.179,g
25313-19,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Fork length,19.3,cm
25313-19,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Total length,20.5,cm
25313-19,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight carcass,122.6,g
25313-19,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight liver,0.68,g
25313-18,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Fork length,19.1,cm
25313-18,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Total length,20.3,cm
25313-18,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight carcass,110.9,g
25313-18,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight liver,0.589,g
25313-17,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Fork length,21.3,cm
25313-17,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Total length,22.3,cm
25313-17,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight carcass,171.5,g
25313-17,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight liver,1.571,g
25313-16,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Fork length,19.4,cm
25313-16,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Total length,20.7,cm
25313-16,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight carcass,126.7,g
25313-16,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight liver,1.223,g
25313-14,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Fork length,18.3,cm
25313-14,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Total length,19.4,cm
25313-14,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight carcass,101.5,g
25313-14,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight liver,0.648,g
25313-13,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Fork length,21.2,cm
25313-13,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Total length,22.4,cm
25313-13,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight carcass,165,g
25313-13,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight liver,0.975,g
25313-12,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Fork length,21.5,cm
25313-12,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Total length,22.5,cm
25313-12,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight carcass,167.2,g
25313-12,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight liver,1.347,g
25313-11,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Fork length,20.3,cm
25313-11,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Total length,21.3,cm
25313-11,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight carcass,134.2,g
25313-11,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight liver,0.818,g
25313-15,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Fork length,23,cm
25313-15,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Total length,24.3,cm
25313-15,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight carcass,201.3,g
25313-15,Snapper: Bluestriped,4/4/16,Adult,Male,Barbers Point Outfall,Weight liver,1.721,g
25313-20,Snapper: Bluestriped,4/4/16,Adult,Female,Barbers Point Outfall,Fork length,25,cm
25313-20,Snapper: Bluestriped,4/4/16,Adult,Female,Barbers Point Outfall,Total length,26.8,cm
25313-20,Snapper: Bluestriped,4/4/16,Adult,Female,Barbers Point Outfall,Weight carcass,316.9,g
25313-20,Snapper: Bluestriped,4/4/16,Adult,Female,Barbers Point Outfall,Weight liver,3.413,g
25452-17,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Fork length,23.4,cm
25452-17,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Total length,24.7,cm
25452-17,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight carcass,247.3,g
25452-17,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight liver,1.798,g
25452-16,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Fork length,22.5,cm
25452-16,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Total length,23.9,cm
25452-16,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight carcass,210.1,g
25452-16,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight liver,1.755,g
25452-20,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Fork length,23.5,cm
25452-20,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Total length,25.3,cm
25452-20,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight carcass,229.1,g
25452-20,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight liver,1.474,g
25452-18,Snapper: Bluestriped,3/28/17,Adult,Female,Barbers Point Outfall,Fork length,21.7,cm
25452-18,Snapper: Bluestriped,3/28/17,Adult,Female,Barbers Point Outfall,Total length,23,cm
25452-18,Snapper: Bluestriped,3/28/17,Adult,Female,Barbers Point Outfall,Weight carcass,171.3,g
25452-18,Snapper: Bluestriped,3/28/17,Adult,Female,Barbers Point Outfall,Weight liver,1.616,g
25452-14,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Fork length,24.7,cm
25452-14,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Total length,26.4,cm
25452-14,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight carcass,278.2,g
25452-14,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight liver,5.003,g
25452-13,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Fork length,27.4,cm
25452-13,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Total length,28.8,cm
25452-13,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight carcass,357.6,g
25452-13,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight liver,2.162,g
25452-12,Snapper: Bluestriped,3/28/17,Adult,Female,Barbers Point Outfall,Fork length,22.2,cm
25452-12,Snapper: Bluestriped,3/28/17,Adult,Female,Barbers Point Outfall,Total length,23.4,cm
25452-12,Snapper: Bluestriped,3/28/17,Adult,Female,Barbers Point Outfall,Weight carcass,192.5,g
25452-12,Snapper: Bluestriped,3/28/17,Adult,Female,Barbers Point Outfall,Weight liver,1.879,g
25452-11,Snapper: Bluestriped,3/28/17,Adult,Female,Barbers Point Outfall,Fork length,18.7,cm
25452-11,Snapper: Bluestriped,3/28/17,Adult,Female,Barbers Point Outfall,Total length,19.7,cm
25452-11,Snapper: Bluestriped,3/28/17,Adult,Female,Barbers Point Outfall,Weight carcass,100.1,g
25452-11,Snapper: Bluestriped,3/28/17,Adult,Female,Barbers Point Outfall,Weight liver,0.637,g
25452-15,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Fork length,24.5,cm
25452-15,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Total length,26,cm
25452-15,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight carcass,227.9,g
25452-15,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight liver,1.508,g
25452-19,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Fork length,22,cm
25452-19,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Total length,23.4,cm
25452-19,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight carcass,188.3,g
25452-19,Snapper: Bluestriped,3/28/17,Adult,Male,Barbers Point Outfall,Weight liver,1.762,g
25613-46,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Fork length,22.5,cm
25613-46,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Total length,22.8,cm
25613-46,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight carcass,196,g
25613-46,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight liver,1.558,g
25613-42,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Fork length,21.6,cm
25613-42,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Total length,22.8,cm
25613-42,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight carcass,175,g
25613-42,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight liver,1.025,g
25613-43,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Fork length,19.1,cm
25613-43,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Total length,20.3,cm
25613-43,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight carcass,112,g
25613-43,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight liver,0.7,g
25613-45,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Fork length,20,cm
25613-45,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Total length,21,cm
25613-45,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight carcass,135,g
25613-45,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight liver,1.163,g
25613-47,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Fork length,19,cm
25613-47,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Total length,19.4,cm
25613-47,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight carcass,117,g
25613-47,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight liver,1.001,g
25613-48,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Fork length,18.6,cm
25613-48,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Total length,19.4,cm
25613-48,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight carcass,106,g
25613-48,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight liver,1.041,g
25613-49,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Fork length,22.4,cm
25613-49,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Total length,23.1,cm
25613-49,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight carcass,188,g
25613-49,Snapper: Bluestriped,11/8/18,Adult,Male,Barbers Point Outfall,Weight liver,1.207,g
25613-50,Snapper: Bluestriped,11/8/18,Adult,Female,Barbers Point Outfall,Fork length,18.2,cm
