CaseAcc,Animal,DateCollected,Age,Sex,waypoint,Measurement,MeasureValue,MeasurementUnit
25260-19,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Fork length,23.9,cm
25260-19,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Total length,25,cm
25260-19,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,257,g
25260-19,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.76,g
25260-18,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Fork length,21.4,cm
25260-18,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Total length,22.7,cm
25260-18,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,176,g
25260-18,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.03,g
25260-16,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Fork length,16.3,cm
25260-16,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Total length,16.6,cm
25260-16,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Weight carcass,75,g
25260-16,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Weight liver,0.28,g
25260-14,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Fork length,23,cm
25260-14,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Total length,24.1,cm
25260-14,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,209,g
25260-14,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.6,g
25260-13,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Fork length,23.1,cm
25260-13,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Total length,22.4,cm
25260-13,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,193,g
25260-13,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight liver,0.9,g
25260-12,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Fork length,17.8,cm
25260-12,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Total length,18.9,cm
25260-12,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,96,g
25260-12,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight liver,0.82,g
25260-17,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Fork length,22,cm
25260-17,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Total length,24.1,cm
25260-17,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,213,g
25260-17,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.14,g
25300-20,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,21.5,cm
25300-20,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,23,cm
25300-20,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,182.2,g
25300-20,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,1.07,g
25300-18,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,18.8,cm
25300-18,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,20,cm
25300-18,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,103.7,g
25300-18,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,0.636,g
25300-17,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,22.7,cm
25300-17,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,24,cm
25300-17,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,208.7,g
25300-17,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,2.739,g
25300-16,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,17.8,cm
25300-16,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,18.8,cm
25300-16,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,93.6,g
25300-16,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,0.416,g
25300-15,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,26.4,cm
25300-15,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,27.9,cm
25300-15,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,329.7,g
25300-15,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,2.428,g
25300-14,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,20.1,cm
25300-14,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,21.3,cm
25300-14,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,134.2,g
25300-14,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,0.742,g
25300-13,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Fork length,19.1,cm
25300-13,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Total length,20.3,cm
25300-13,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Weight carcass,107.7,g
25300-13,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Weight liver,0.478,g
25300-12,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Fork length,19,cm
25300-12,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Total length,20,cm
25300-12,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Weight carcass,110.9,g
25300-12,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Weight liver,0.94,g
25300-11,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,26.2,cm
25300-11,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,27.6,cm
25300-11,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,319.2,g
25300-11,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,2.115,g
25300-19,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,18.6,cm
25300-19,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,19.5,cm
25300-19,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,102.6,g
25300-19,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,0.741,g
25403-2,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Fork length,19.8,cm
25403-2,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Total length,21,cm
25403-2,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight carcass,130,g
25403-2,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight liver,0.703,g
25403-3,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Fork length,20.3,cm
25403-3,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Total length,21.4,cm
25403-3,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight carcass,143,g
25403-3,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight liver,0.988,g
25403-4,Snapper: Bluestriped,11/9/16,Adult,Female,Barbers Point FR1B,Fork length,20.9,cm
25403-4,Snapper: Bluestriped,11/9/16,Adult,Female,Barbers Point FR1B,Total length,21.7,cm
25403-4,Snapper: Bluestriped,11/9/16,Adult,Female,Barbers Point FR1B,Weight carcass,162,g
25403-4,Snapper: Bluestriped,11/9/16,Adult,Female,Barbers Point FR1B,Weight liver,1.543,g
25403-5,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Fork length,20.7,cm
25403-5,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Total length,21.5,cm
25403-5,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight carcass,152,g
25403-5,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight liver,0.758,g
25403-6,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Fork length,24.4,cm
25403-6,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Total length,25.4,cm
25403-6,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight carcass,246,g
25403-6,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight liver,1.874,g
25403-7,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Fork length,24.8,cm
25403-7,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Total length,26,cm
25403-7,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight carcass,307,g
25403-7,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight liver,2.141,g
25403-8,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Fork length,21.2,cm
25403-8,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Total length,22.2,cm
25403-8,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight carcass,164,g
25403-8,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight liver,0.846,g
25403-10,Snapper: Bluestriped,11/9/16,Adult,Female,Barbers Point FR1B,Fork length,20.2,cm
25403-10,Snapper: Bluestriped,11/9/16,Adult,Female,Barbers Point FR1B,Total length,21.5,cm
25403-10,Snapper: Bluestriped,11/9/16,Adult,Female,Barbers Point FR1B,Weight carcass,138,g
25403-10,Snapper: Bluestriped,11/9/16,Adult,Female,Barbers Point FR1B,Weight liver,0.923,g
25403-1,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Total length,20.3,cm
25403-1,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight carcass,137,g
25403-1,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight liver,0.957,g
25403-1,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Fork length,19.8,cm
25403-9,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Fork length,22.3,cm
25403-9,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Total length,23.4,cm
25403-9,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight carcass,194,g
25403-9,Snapper: Bluestriped,11/9/16,Adult,Male,Barbers Point FR1B,Weight liver,1.303,g
25466-19,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Fork length,22.4,cm
25466-19,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Total length,23.9,cm
25466-19,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Weight carcass,201.5,g
25466-19,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Weight liver,1.209,g
25466-20,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Fork length,20.7,cm
25466-20,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Total length,21.9,cm
25466-20,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Weight carcass,148.2,g
25466-20,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Weight liver,1.127,g
25466-18,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Fork length,19.3,cm
25466-18,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Total length,20.4,cm
25466-18,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Weight carcass,118.6,g
25466-18,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Weight liver,0.909,g
25466-17,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Fork length,17.8,cm
25466-17,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Total length,18.6,cm
25466-17,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Weight carcass,94.2,g
25466-17,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Weight liver,0.766,g
25466-16,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Fork length,20.6,cm
25466-16,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Total length,22,cm
25466-16,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Weight carcass,143,g
25466-16,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Weight liver,0.929,g
25466-15,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Fork length,21.1,cm
25466-15,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Total length,22.5,cm
25466-15,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Weight carcass,152.4,g
25466-15,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Weight liver,0.987,g
25466-14,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Fork length,21.7,cm
25466-14,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Total length,22.9,cm
25466-14,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Weight carcass,175,g
25466-14,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Weight liver,0.884,g
25466-13,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Fork length,20.9,cm
25466-13,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Total length,21.9,cm
25466-13,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Weight carcass,149,g
25466-13,Snapper: Bluestriped,4/27/17,Adult,Female,Barbers Point FR1B,Weight liver,0.944,g
25466-12,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Fork length,23.8,cm
25466-12,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Total length,25,cm
25466-12,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Weight carcass,239,g
25466-12,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Weight liver,2.506,g
25466-11,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Fork length,20.8,cm
25466-11,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Total length,22,cm
25466-11,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Weight carcass,157,g
25466-11,Snapper: Bluestriped,4/27/17,Adult,Male,Barbers Point FR1B,Weight liver,0.89,g
25518-38,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Weight carcass,175.8,g
25518-38,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Total length,22.9,cm
25518-38,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Fork length,21.3,cm
25518-38,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Weight liver,1.247,g
25518-39,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Weight carcass,118,g
25518-39,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Total length,19.8,cm
25518-39,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Fork length,19.2,cm
25518-39,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Weight liver,0.594,g
25518-40,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Weight carcass,218.6,g
25518-40,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Total length,24.5,cm
25518-40,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Fork length,22.6,cm
25518-40,Snapper: Bluestriped,11/7/17,Unknown,Female,Barbers Point FR1B,Weight liver,1.25,g
